epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1615,2.68468,5.07456,1.15516,0.006,0.10609,0.00496,0.0028,1.32535,4.56567,0.86477,4e-05,4e-05,4e-05
2,16.604,1.96246,4.56933,1.00214,0.15072,0.41615,0.13327,0.08436,1.07474,2.51889,0.81417,8.9109e-05,8.9109e-05,8.9109e-05
3,19.0455,1.25735,2.29518,0.83171,0.38399,0.54665,0.37563,0.27065,0.94198,4.28662,0.80459,0.000137228,0.000137228,0.000137228
4,21.7769,1.06832,1.42524,0.81806,0.67519,0.62929,0.73768,0.56751,0.83258,1.91545,0.79999,0.000184357,0.000184357,0.000184357
5,24.2368,0.93675,0.99481,0.80762,0.79032,0.80078,0.90085,0.72202,0.79983,1.11587,0.7944,0.000230496,0.000230496,0.000230496
6,26.6827,0.90843,0.79751,0.80431,0.89748,0.87476,0.95249,0.75619,0.80912,0.83885,0.79176,0.000275645,0.000275645,0.000275645
7,29.0833,0.82832,0.66344,0.80148,0.94184,0.91447,0.98022,0.79967,0.75593,0.67173,0.78893,0.000319804,0.000319804,0.000319804
8,31.5909,0.84646,0.64063,0.79968,0.94637,0.94372,0.98681,0.77366,0.8448,0.57581,0.79229,0.000362973,0.000362973,0.000362973
9,34.1153,0.98562,0.6405,0.80464,0.93613,0.96378,0.98888,0.77374,0.83959,0.6666,0.79281,0.000405152,0.000405152,0.000405152
10,36.5228,0.87798,0.56904,0.79708,0.94875,0.96349,0.98992,0.80906,0.74628,0.62769,0.79072,0.000446341,0.000446341,0.000446341
11,38.8841,0.83899,0.54519,0.80049,0.96733,0.97254,0.99048,0.81293,0.71895,0.55396,0.78833,0.00048654,0.00048654,0.00048654
12,41.2607,0.80796,0.51284,0.79602,0.96128,0.98399,0.98981,0.8186,0.69769,0.48962,0.78831,0.000525749,0.000525749,0.000525749
13,43.6583,0.84171,0.52401,0.79486,0.98557,0.98775,0.99346,0.82134,0.723,0.45392,0.78887,0.000563968,0.000563968,0.000563968
14,45.9878,0.86447,0.52418,0.79379,0.97026,0.99326,0.99324,0.81531,0.70752,0.4723,0.78844,0.000601197,0.000601197,0.000601197
